vessel_id,event_timestamp,arrival_hour,cargo_volume,berth_wait_minutes,port_congestion,weather,previous_delay_hours,crane_available,delayed
V00000,2024-01-01 00:00:00,0,1037.1,64.1,Low,Clear,0.49,1,1
V00001,2024-01-01 02:00:00,2,432.0,57.4,Medium,Clear,0.88,0,0
V00002,2024-01-01 04:00:00,4,1237.7,79.2,Medium,Clear,0.37,1,1
V00003,2024-01-01 06:00:00,6,1323.3,13.0,Medium,Clear,1.15,1,1
V00004,2024-01-01 08:00:00,8,100.0,24.2,Low,Clear,0.45,1,0
V00005,2024-01-01 10:00:00,10,314.0,67.8,Medium,Clear,2.69,0,0
V00006,2024-01-01 12:00:00,12,957.5,43.6,Low,Storm,1.27,1,0
V00007,2024-01-01 14:00:00,14,757.7,58.5,High,Clear,3.38,1,1
V00008,2024-01-01 16:00:00,16,892.4,103.4,High,Clear,2.0,0,1
V00009,2024-01-01 18:00:00,18,516.1,21.7,Low,Rain,1.86,1,0
V00010,2024-01-01 20:00:00,20,1295.7,15.6,Low,Clear,0.22,1,0
V00011,2024-01-01 22:00:00,22,1250.0,47.2,Low,Clear,1.69,1,0
V00012,2024-01-02 00:00:00,0,929.7,50.2,Medium,Rain,4.43,1,0
V00013,2024-01-02 02:00:00,2,1407.3,66.9,High,Cloudy,0.68,0,1
V00014,2024-01-02 04:00:00,4,1110.4,36.1,Medium,Clear,2.37,1,0
V00015,2024-01-02 06:00:00,6,513.3,8.3,Low,Cloudy,0.14,1,1
V00016,2024-01-02 08:00:00,8,1065.9,25.1,Low,Cloudy,0.31,1,0
V00017,2024-01-02 10:00:00,10,468.5,62.5,Low,Clear,0.94,1,0
V00018,2024-01-02 12:00:00,12,1295.3,86.1,High,Clear,0.57,1,1
V00019,2024-01-02 14:00:00,14,877.5,74.0,Medium,Clear,0.44,1,0
V00020,2024-01-02 16:00:00,16,816.8,62.9,Medium,Rain,0.58,1,1
V00021,2024-01-02 18:00:00,18,593.6,19.7,Low,Clear,1.54,1,0
